Matter Case ID #,State,County of Residence,FIPS
25-0000148,CA,Tulare,6107
25-0000149,CA,Los Angeles,6037
25-0000150,CA,Los Angeles,6037
25-0000151,CA,Los Angeles,6037
25-0000152,CA,Kern,6029
25-0000153,CA,Los Angeles,6037
25-0000154,CA,Los Angeles,6037
25-0000155,CA,Orange,6059
25-0000156,CA,Orange,6059
25-0000157,CA,Orange,6059
25-0000158,CA,San Diego,6073
25-0000159,CA,Los Angeles,6037
25-0000160,CA,Los Angeles,6037
25-0000161,CA,Los Angeles,6037
25-0000162,CA,Santa Clara,6085
25-0000163,CA,Santa Barbara,6083
25-0000164,CA,San Bernardino,6071
25-0000165,CA,Los Angeles,6037
25-0000166,CA,Orange,6059
25-0000167,CA,San Luis Obispo,6079
25-0000168,CA,Los Angeles,6037
25-0000169,CA,Los Angeles,6037
25-0000170,CA,Alameda,6001
25-0000171,CA,Sonoma,6097
25-0000172,CA,Ventura,6111
25-0000173,CA,Los Angeles,6037
25-0000174,CA,Santa Barbara,6083
25-0000175,CA,Los Angeles,6037
25-0000176,CA,El Dorado,6017
25-0000177,CA,Fresno,6019
25-0000178,CA,Los Angeles,6037
25-0000179,CA,Kern,6029
25-0000180,CA,Los Angeles,6037
25-0000181,CA,Riverside,6065
25-0000182,CA,San Diego,6073
25-0000183,CA,Solano,6095
25-0000184,CA,Los Angeles,6037
25-0000185,CA,Los Angeles,6037
25-0000186,CA,San Bernardino,6071
25-0000187,CA,Los Angeles,6037
25-0000188,CA,Orange,6059
25-0000189,CA,Los Angeles,6037
25-0000190,CA,Orange,6059
25-0000191,CA,Orange,6059
25-0000192,CA,Santa Clara,6085
25-0000193,CA,Los Angeles,6037
25-0000194,CA,Riverside,6065
25-0000195,CA,Orange,6059
25-0000196,CA,Orange,6059
25-0000197,CA,Orange,6059
25-0000198,CA,Orange,6059
25-0000199,CA,Los Angeles,6037
25-0000200,CA,Los Angeles,6037
25-0000201,CA,Stanislaus,6099
25-0000202,CA,Los Angeles,6037
25-0000203,CA,Sacramento,6067
25-0000204,CA,Los Angeles,6037
25-0000205,CA,Sacramento,6067
25-0000206,CA,San Bernardino,6071
25-0000207,CA,Sacramento,6067
25-0000208,CA,San Bernardino,6071
25-0000209,CA,Los Angeles,6037
25-0000210,CA,Sacramento,6067
25-0000211,CA,Sacramento,6067
25-0000212,CA,Riverside,6065
25-0000213,CA,San Francisco,6075
25-0000214,CA,Los Angeles,6037
25-0000215,CA,Los Angeles,6037
25-0000216,CA,Kern,6029
25-0000217,CA,Tulare,6107
25-0000218,CA,Los Angeles,6037
25-0000219,CA,Alameda,6001
25-0000220,CA,Monterey,6053
25-0000221,CA,Riverside,6065
25-0000222,CA,Riverside,6065
25-0000223,CA,Kern,6029
25-0000224,CA,San Diego,6073
25-0000225,CA,Alameda,6001
25-0000226,CA,San Bernardino,6071
25-0000227,CA,Riverside,6065
25-0000228,CA,Sacramento,6067
25-0000229,CA,Los Angeles,6037
25-0000230,CA,Contra Costa,6013
25-0000231,CA,San Bernardino,6071
25-0000232,CA,Orange,6059
25-0000233,CA,Los Angeles,6037
25-0000234,CA,Los Angeles,6037
25-0000235,CA,San Bernardino,6071
25-0000236,CA,San Bernardino,6071
25-0000237,CA,Orange,6059
25-0000238,CA,San Mateo,6081
25-0000239,CA,Los Angeles,6037
25-0000240,CA,Riverside,6065
25-0000241,CA,Orange,6059
25-0000242,CA,Modoc,6049
25-0000243,CA,San Diego,6073
25-0000244,CA,Imperial,6025
25-0000245,CA,Riverside,6065
25-0000246,CA,Los Angeles,6037
25-0000247,CA,Los Angeles,6037
25-0000248,CA,Monterey,6053
25-0000249,CA,San Luis Obispo,6079
25-0000250,CA,Los Angeles,6037
25-0000251,CA,Los Angeles,6037
25-0000252,CA,Los Angeles,6037
25-0000253,CA,Fresno,6019
25-0000254,CA,Los Angeles,6037
25-0000255,CA,Ventura,6111
25-0000256,CA,Riverside,6065
25-0000257,CA,Santa Clara,6085
25-0000258,CA,San Bernardino,6071
25-0000259,CA,Yolo,6113
25-0000260,CA,Riverside,6065
25-0000261,CA,Los Angeles,6037
25-0000262,CA,Alameda,6001
25-0000263,CA,San Bernardino,6071
25-0000264,CA,Los Angeles,6037
25-0000265,CA,Los Angeles,6037
25-0000266,CA,Los Angeles,6037
25-0000267,CA,Santa Clara,6085
25-0000268,CA,Los Angeles,6037
25-0000269,CA,Sacramento,6067
25-0000270,CA,Sonoma,6097
25-0000271,CA,Los Angeles,6037
25-0000272,CA,Orange,6059
25-0000273,CA,Los Angeles,6037
25-0000274,CA,Los Angeles,6037
25-0000275,CA,San Francisco,6075
25-0000276,CA,Los Angeles,6037
25-0000277,CA,Lake,6033
25-0000278,CA,Orange,6059
25-0000279,CA,Los Angeles,6037
25-0000280,CA,Monterey,6053
25-0000281,CA,Los Angeles,6037
25-0000282,CA,Ventura,6111
25-0000283,CA,Los Angeles,6037
25-0000284,CA,Los Angeles,6037
25-0000285,CA,Fresno,6019
25-0000286,CA,Riverside,6065
25-0000287,CA,Riverside,6065
25-0000288,CA,Ventura,6111
25-0000289,CA,Ventura,6111
25-0000290,CA,Orange,6059
25-0000291,CA,Los Angeles,6037
25-0000292,CA,Kern,6029
25-0000293,CA,Kern,6029
25-0000294,CA,Santa Barbara,6083
25-0000295,CA,San Bernardino,6071
25-0000296,CA,Los Angeles,6037
25-0000297,CA,Santa Clara,6085
25-0000298,CA,Alameda,6001
25-0000299,CA,Los Angeles,6037
25-0000300,CA,San Diego,6073
25-0000301,CA,Los Angeles,6037
25-0000302,CA,San Diego,6073
25-0000303,CA,Los Angeles,6037
25-0000304,CA,Santa Clara,6085
25-0000305,CA,Santa Barbara,6083
25-0000306,CA,Riverside,6065
25-0000307,CA,Riverside,6065
25-0000308,CA,Santa Clara,6085
25-0000309,CA,Yolo,6113
25-0000310,CA,Los Angeles,6037
25-0000311,CA,Los Angeles,6037
25-0000312,CA,Stanislaus,6099
25-0000313,CA,Sacramento,6067
25-0000314,CA,Los Angeles,6037
25-0000315,CA,San Diego,6073
25-0000316,CA,Alameda,6001
25-0000317,CA,Los Angeles,6037
25-0000318,CA,San Francisco,6075
25-0000319,CA,Solano,6095
25-0000320,CA,Contra Costa,6013
25-0000321,CA,San Joaquin,6077
25-0000322,CA,Riverside,6065
25-0000323,CA,Riverside,6065
25-0000324,CA,Orange,6059
25-0000325,CA,San Diego,6073
25-0000326,CA,Orange,6059
25-0000327,CA,Imperial,6025
25-0000328,CA,Los Angeles,6037
25-0000329,CA,Riverside,6065
25-0000330,CA,Los Angeles,6037
25-0000331,CA,Los Angeles,6037
25-0000332,CA,San Mateo,6081
25-0000333,CA,Los Angeles,6037
25-0000334,CA,Orange,6059
25-0000335,CA,Sacramento,6067
25-0000336,CA,Kern,6029
25-0000337,CA,San Diego,6073
25-0000338,CA,Los Angeles,6037
25-0000339,CA,Orange,6059
25-0000340,CA,San Bernardino,6071
25-0000341,CA,Los Angeles,6037
25-0000342,CA,Riverside,6065
25-0000343,CA,Los Angeles,6037
25-0000344,CA,Contra Costa,6013
25-0000345,CA,San Bernardino,6071
25-0000346,CA,Orange,6059
25-0000347,CA,Los Angeles,6037
25-0000348,CA,Los Angeles,6037
25-0000349,CA,Riverside,6065
25-0000350,CA,Los Angeles,6037
25-0000351,CA,Los Angeles,6037
25-0000352,CA,Lassen,6035
25-0000353,CA,Los Angeles,6037
25-0000354,CA,Los Angeles,6037
25-0000355,CA,San Diego,6073
25-0000356,CA,San Diego,6073
25-0000357,CA,Orange,6059
25-0000358,CA,Los Angeles,6037
25-0000359,CA,Orange,6059
25-0000360,CA,Santa Clara,6085
25-0000361,CA,Los Angeles,6037
25-0000362,CA,San Bernardino,6071
25-0000363,CA,Los Angeles,6037
25-0000364,CA,Los Angeles,6037
25-0000365,CA,Ventura,6111
25-0000366,CA,Sacramento,6067
25-0000367,CA,Santa Clara,6085
25-0000368,CA,San Bernardino,6071
25-0000369,CA,Lake,6033
25-0000370,CA,Tuolumne,6109
25-0000371,CA,Los Angeles,6037
25-0000372,CA,San Bernardino,6071
25-0000373,CA,Sacramento,6067
25-0000374,CA,Los Angeles,6037
25-0000375,CA,Riverside,6065
25-0000376,CA,Los Angeles,6037
25-0000377,CA,Riverside,6065
25-0000378,CA,San Bernardino,6071
25-0000379,CA,Tulare,6107
25-0000380,CA,Riverside,6065
25-0000381,CA,San Diego,6073
25-0000382,CA,Los Angeles,6037
25-0000383,CA,Los Angeles,6037
25-0000384,CA,Los Angeles,6037
25-0000385,CA,Los Angeles,6037
25-0000386,CA,Monterey,6053
25-0000387,CA,Mendocino,6045
25-0000388,CA,Fresno,6019
25-0000389,CA,Ventura,6111
25-0000390,CA,San Bernardino,6071
25-0000391,CA,San Bernardino,6071
25-0000392,CA,Orange,6059
25-0000393,CA,Fresno,6019
25-0000394,CA,Los Angeles,6037
25-0000395,CA,Los Angeles,6037
25-0000396,CA,Sonoma,6097
25-0000397,CA,Orange,6059
25-0000398,CA,Sacramento,6067
25-0000399,CA,Los Angeles,6037
25-0000400,CA,Los Angeles,6037
25-0000401,CA,San Diego,6073
25-0000402,CA,Los Angeles,6037
25-0000403,CA,San Bernardino,6071
25-0000404,CA,Riverside,6065
25-0000405,CA,Los Angeles,6037
25-0000406,CA,Sacramento,6067
25-0000407,CA,Los Angeles,6037
25-0000408,CA,San Bernardino,6071
25-0000409,CA,Los Angeles,6037
25-0000410,CA,Los Angeles,6037
25-0000411,CA,Riverside,6065
25-0000412,CA,Los Angeles,6037
25-0000413,CA,San Bernardino,6071
25-0000414,CA,San Diego,6073
25-0000415,CA,Los Angeles,6037
25-0000416,CA,Los Angeles,6037
25-0000417,CA,Kern,6029
25-0000418,CA,Los Angeles,6037
25-0000419,CA,Fresno,6019
25-0000420,CA,Los Angeles,6037
25-0000421,CA,Placer,6061
25-0000422,CA,Los Angeles,6037
25-0000423,CA,Los Angeles,6037
25-0000424,CA,San Bernardino,6071
25-0000425,CA,Orange,6059
25-0000426,CA,Los Angeles,6037
25-0000427,CA,Los Angeles,6037
25-0000428,CA,San Bernardino,6071
25-0000429,CA,Orange,6059
25-0000430,CA,Santa Clara,6085
25-0000431,CA,Tulare,6107
25-0000432,CA,Placer,6061
25-0000433,CA,Los Angeles,6037
25-0000434,CA,Los Angeles,6037
25-0000435,CA,Santa Clara,6085
25-0000436,CA,Sacramento,6067
25-0000437,CA,Los Angeles,6037
25-0000438,CA,Los Angeles,6037
25-0000439,CA,Los Angeles,6037
25-0000440,CA,Los Angeles,6037
25-0000441,CA,Los Angeles,6037
25-0000442,CA,Los Angeles,6037
25-0000443,CA,Los Angeles,6037
25-0000444,CA,Los Angeles,6037
25-0000445,CA,Los Angeles,6037
25-0000446,CA,Riverside,6065
25-0000447,CA,San Bernardino,6071
25-0000448,CA,Los Angeles,6037
25-0000449,CA,Los Angeles,6037
25-0000450,CA,San Diego,6073
25-0000451,CA,Los Angeles,6037
25-0000452,CA,Orange,6059
25-0000453,CA,San Diego,6073
25-0000454,CA,Los Angeles,6037
25-0000455,CA,Los Angeles,6037
25-0000456,CA,Sacramento,6067
25-0000457,CA,Los Angeles,6037
25-0000458,CA,Nevada,6057
25-0000459,CA,Kern,6029
25-0000460,CA,Los Angeles,6037
25-0000461,CA,Kern,6029
25-0000462,CA,Los Angeles,6037
25-0000463,CA,Los Angeles,6037
25-0000464,CA,Los Angeles,6037
25-0000465,CA,Orange,6059
25-0000466,CA,Los Angeles,6037
25-0000467,CA,Fresno,6019
25-0000468,CA,Kern,6029
25-0000469,CA,Riverside,6065
25-0000470,CA,Orange,6059
25-0000471,CA,Imperial,6025
25-0000472,CA,Kern,6029
25-0000473,CA,Placer,6061
25-0000474,CA,San Diego,6073
25-0000475,CA,Yuba,6115
25-0000476,CA,Los Angeles,6037
25-0000477,CA,Contra Costa,6013
25-0000478,CA,Los Angeles,6037
25-0000479,CA,Riverside,6065
25-0000480,CA,Los Angeles,6037
25-0000481,CA,San Francisco,6075
25-0000482,CA,Orange,6059
25-0000483,CA,Los Angeles,6037
25-0000484,CA,San Francisco,6075
25-0000485,CA,Kings,6031
25-0000486,CA,Los Angeles,6037
25-0000487,CA,San Francisco,6075
25-0000488,CA,Fresno,6019
25-0000489,CA,Los Angeles,6037
25-0000490,CA,Los Angeles,6037
25-0000491,CA,Los Angeles,6037
25-0000492,CA,Orange,6059
25-0000493,CA,Los Angeles,6037
25-0000494,CA,Los Angeles,6037
25-0000495,CA,Los Angeles,6037
25-0000496,CA,Tulare,6107
25-0000497,CA,Los Angeles,6037
25-0000498,CA,San Bernardino,6071
25-0000499,CA,Orange,6059
25-0000500,CA,Riverside,6065
25-0000501,CA,Orange,6059
25-0000502,CA,Nevada,6057
25-0000503,CA,Los Angeles,6037
25-0000504,CA,Los Angeles,6037
25-0000505,CA,Napa,6055
25-0000506,CA,Santa Barbara,6083
25-0000507,CA,Los Angeles,6037
25-0000508,CA,San Francisco,6075
25-0000509,CA,Los Angeles,6037
25-0000510,CA,Marin,6041
25-0000511,CA,Los Angeles,6037
25-0000512,CA,Los Angeles,6037
25-0000513,CA,San Bernardino,6071
25-0000514,CA,Placer,6061
25-0000515,CA,San Joaquin,6077
25-0000516,CA,Los Angeles,6037
25-0000517,CA,Merced,6047
25-0000518,CA,San Bernardino,6071
25-0000519,CA,San Bernardino,6071
25-0000520,CA,Sacramento,6067
25-0000521,CA,Orange,6059
25-0000522,CA,Orange,6059
25-0000523,CA,San Diego,6073
25-0000524,CA,Ventura,6111
25-0000525,CA,Orange,6059
25-0000526,CA,Fresno,6019
25-0000527,CA,San Diego,6073
25-0000528,CA,Los Angeles,6037
25-0000529,CA,Los Angeles,6037
25-0000530,CA,San Bernardino,6071
25-0000531,CA,Los Angeles,6037
25-0000532,CA,Fresno,6019
25-0000533,CA,Los Angeles,6037
25-0000534,CA,Contra Costa,6013
25-0000535,CA,Los Angeles,6037
25-0000536,CA,Santa Clara,6085
25-0000537,CA,Orange,6059
25-0000538,CA,Los Angeles,6037
25-0000539,CA,Stanislaus,6099
25-0000540,CA,Mendocino,6045
25-0000541,CA,Alameda,6001
25-0000542,CA,Orange,6059
25-0000543,CA,San Joaquin,6077
25-0000544,CA,Sacramento,6067
25-0000545,CA,Los Angeles,6037
25-0000546,CA,Fresno,6019
25-0000547,CA,Los Angeles,6037
25-0000548,CA,Los Angeles,6037
25-0000549,CA,Riverside,6065
25-0000550,CA,Los Angeles,6037
25-0000551,CA,Los Angeles,6037
25-0000552,CA,Orange,6059
25-0000553,CA,Orange,6059
25-0000554,CA,Los Angeles,6037
25-0000555,CA,Placer,6061
25-0000556,CA,Riverside,6065
25-0000557,CA,San Francisco,6075
25-0000558,CA,San Bernardino,6071
25-0000559,CA,San Diego,6073
25-0000560,CA,Los Angeles,6037
25-0000561,CA,Los Angeles,6037
25-0000562,CA,Los Angeles,6037
25-0000563,CA,Marin,6041
25-0000564,CA,Los Angeles,6037
25-0000565,CA,Los Angeles,6037
25-0000566,CA,Riverside,6065
25-0000567,CA,Los Angeles,6037
25-0000568,CA,Los Angeles,6037
25-0000569,CA,Los Angeles,6037
25-0000570,CA,Orange,6059
25-0000571,CA,Los Angeles,6037
25-0000572,CA,Orange,6059
25-0000573,CA,San Bernardino,6071
25-0000574,CA,Orange,6059
25-0000575,CA,Los Angeles,6037
25-0000576,CA,Los Angeles,6037
25-0000577,CA,Riverside,6065
25-0000578,CA,San Bernardino,6071
25-0000579,CA,San Bernardino,6071
25-0000580,CA,Los Angeles,6037
25-0000581,CA,Ventura,6111
25-0000582,CA,Los Angeles,6037
25-0000583,CA,Los Angeles,6037
25-0000584,CA,Los Angeles,6037
25-0000585,CA,San Mateo,6081
25-0000586,CA,Riverside,6065
25-0000587,CA,Ventura,6111
25-0000588,CA,Kern,6029
25-0000589,CA,Los Angeles,6037
25-0000590,CA,Tulare,6107
25-0000591,CA,Contra Costa,6013
25-0000592,CA,Tulare,6107
25-0000593,CA,Tulare,6107
25-0000594,CA,Los Angeles,6037
25-0000595,CA,Contra Costa,6013
25-0000596,CA,Los Angeles,6037
25-0000597,CA,Los Angeles,6037
25-0000598,CA,Stanislaus,6099
25-0000599,CA,Los Angeles,6037
25-0000600,CA,Madera,6039
25-0000601,CA,Riverside,6065
25-0000602,CA,Los Angeles,6037
25-0000603,CA,San Joaquin,6077
25-0000604,CA,Riverside,6065
25-0000605,CA,Los Angeles,6037
25-0000606,CA,Kern,6029
25-0000607,CA,Los Angeles,6037
25-0000608,CA,Orange,6059
25-0000609,CA,Los Angeles,6037
25-0000610,CA,Los Angeles,6037
25-0000611,CA,San Diego,6073
25-0000612,CA,Kern,6029
25-0000613,CA,Los Angeles,6037
25-0000614,CA,Los Angeles,6037
25-0000615,CA,Riverside,6065
25-0000616,CA,Riverside,6065
25-0000617,CA,Los Angeles,6037
25-0000618,CA,Los Angeles,6037
25-0000619,CA,San Diego,6073
25-0000620,CA,Fresno,6019
25-0000621,CA,San Mateo,6081
25-0000622,CA,Riverside,6065
25-0000623,CA,Los Angeles,6037
25-0000624,CA,San Bernardino,6071
25-0000625,CA,Riverside,6065
25-0000626,CA,Riverside,6065
25-0000627,CA,Los Angeles,6037
25-0000628,CA,Fresno,6019
25-0000629,CA,Kern,6029
25-0000630,CA,Los Angeles,6037
25-0000631,CA,Alameda,6001
25-0000632,CA,Los Angeles,6037
25-0000633,CA,San Bernardino,6071
25-0000634,CA,Yolo,6113
25-0000635,CA,Los Angeles,6037
25-0000636,CA,Orange,6059
25-0000637,CA,Los Angeles,6037
25-0000638,CA,Riverside,6065
25-0000639,CA,Riverside,6065
25-0000640,CA,Orange,6059
25-0000641,CA,Los Angeles,6037
25-0000642,CA,Los Angeles,6037
25-0000643,CA,Los Angeles,6037
25-0000644,CA,Los Angeles,6037
25-0000645,CA,Los Angeles,6037
25-0000646,CA,Tulare,6107
25-0000647,CA,San Bernardino,6071
25-0000648,CA,Alameda,6001
25-0000649,CA,Fresno,6019
25-0000650,CA,San Joaquin,6077
25-0000651,CA,San Bernardino,6071
25-0000652,CA,Tulare,6107
25-0000653,CA,Los Angeles,6037
25-0000654,CA,Los Angeles,6037
25-0000655,CA,Los Angeles,6037
25-0000656,CA,Los Angeles,6037
25-0000657,CA,San Mateo,6081
25-0000658,CA,Los Angeles,6037
25-0000659,CA,San Diego,6073
25-0000660,CA,Los Angeles,6037
25-0000661,CA,Alameda,6001
25-0000662,CA,Los Angeles,6037
25-0000663,CA,Los Angeles,6037
25-0000664,CA,Kings,6031
25-0000665,CA,Los Angeles,6037
25-0000666,CA,San Bernardino,6071
25-0000667,CA,Los Angeles,6037
25-0000668,CA,Los Angeles,6037
25-0000669,CA,Sutter,6101
25-0000670,CA,Los Angeles,6037
25-0000671,CA,Sacramento,6067
25-0000672,CA,Riverside,6065
25-0000673,CA,Los Angeles,6037
25-0000674,CA,Monterey,6053
25-0000675,CA,Los Angeles,6037
25-0000676,CA,Sacramento,6067
25-0000677,CA,Riverside,6065
25-0000678,CA,Los Angeles,6037
25-0000679,CA,San Bernardino,6071
25-0000680,CA,Los Angeles,6037
25-0000681,CA,San Bernardino,6071
25-0000682,CA,Los Angeles,6037
25-0000683,CA,Los Angeles,6037
25-0000684,CA,San Bernardino,6071
25-0000685,CA,Kern,6029
25-0000686,CA,Los Angeles,6037
25-0000687,CA,Los Angeles,6037
25-0000688,CA,Los Angeles,6037
25-0000689,CA,San Bernardino,6071
25-0000690,CA,San Diego,6073
25-0000691,CA,El Dorado,6017
25-0000692,CA,Mono,6051
25-0000693,CA,Los Angeles,6037
25-0000694,CA,Los Angeles,6037
25-0000695,CA,Orange,6059
25-0000696,CA,Sonoma,6097
25-0000697,CA,San Diego,6073
25-0000698,CA,Stanislaus,6099
25-0000699,CA,Riverside,6065
25-0000700,CA,Orange,6059
25-0000701,CA,Los Angeles,6037
25-0000702,CA,Riverside,6065
25-0000703,CA,Orange,6059
25-0000704,CA,San Bernardino,6071
25-0000705,CA,Los Angeles,6037
25-0000706,CA,Los Angeles,6037
25-0000707,CA,Contra Costa,6013
25-0000708,CA,Los Angeles,6037
25-0000709,CA,San Bernardino,6071
25-0000710,CA,San Diego,6073
25-0000711,CA,Los Angeles,6037
25-0000712,CA,San Bernardino,6071
25-0000713,CA,San Bernardino,6071
25-0000714,CA,Sacramento,6067
25-0000715,CA,Los Angeles,6037
25-0000716,CA,Los Angeles,6037
25-0000717,CA,Riverside,6065
25-0000718,CA,Fresno,6019
25-0000719,CA,San Diego,6073
25-0000720,CA,Sutter,6101
25-0000721,CA,San Joaquin,6077
25-0000722,CA,San Diego,6073
25-0000723,CA,Los Angeles,6037
25-0000724,CA,Riverside,6065
25-0000725,CA,Los Angeles,6037
25-0000726,CA,Los Angeles,6037
25-0000727,CA,Sacramento,6067
25-0000728,CA,Los Angeles,6037
25-0000729,CA,San Diego,6073
25-0000730,CA,Los Angeles,6037
25-0000731,CA,Los Angeles,6037
25-0000732,CA,Riverside,6065
25-0000733,CA,San Joaquin,6077
25-0000734,CA,Los Angeles,6037
25-0000735,CA,Fresno,6019
25-0000736,CA,San Diego,6073
25-0000737,CA,Stanislaus,6099
25-0000738,CA,Los Angeles,6037
25-0000739,CA,Los Angeles,6037
25-0000740,CA,Los Angeles,6037
25-0000741,CA,Los Angeles,6037
25-0000742,CA,Alameda,6001
25-0000743,CA,Los Angeles,6037
25-0000744,CA,Los Angeles,6037
25-0000745,CA,San Mateo,6081
25-0000746,CA,Los Angeles,6037
25-0000747,CA,Orange,6059
25-0000748,CA,San Bernardino,6071
25-0000749,CA,San Bernardino,6071
25-0000750,CA,Merced,6047
25-0000751,CA,Los Angeles,6037
25-0000752,CA,Orange,6059
25-0000753,CA,Los Angeles,6037
25-0000754,CA,Orange,6059
25-0000755,CA,Orange,6059
25-0000756,CA,San Bernardino,6071
25-0000757,CA,Los Angeles,6037
25-0000758,CA,Riverside,6065
25-0000759,CA,Los Angeles,6037
25-0000760,CA,Los Angeles,6037
25-0000761,CA,Merced,6047
25-0000762,CA,Solano,6095
25-0000763,CA,Riverside,6065
25-0000764,CA,San Diego,6073
25-0000765,CA,Orange,6059
25-0000766,CA,Kern,6029
25-0000767,CA,Santa Barbara,6083
25-0000768,CA,Los Angeles,6037
25-0000769,CA,Los Angeles,6037
25-0000770,CA,Los Angeles,6037
25-0000771,CA,Alameda,6001
25-0000772,CA,San Diego,6073
